@RELATION type

@ATTRIBUTE refractive_index {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE na {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE mg {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE al {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE si {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE k {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE ca {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE ba {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE fe {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE type {1,2,3,4,5,6,7}

@DATA
9,12,11,11,1,2,8,0,0,7
5,11,0,12,12,0,6,4,0,7
4,7,17,5,10,2,4,0,0,2
4,7,17,6,9,1,5,0,0,3
6,6,18,4,8,2,6,0,5,2
5,10,0,11,12,0,5,11,0,7
6,6,19,4,11,1,5,0,4,2
7,11,0,1,13,0,10,0,0,6
5,7,17,8,9,1,4,0,0,2
4,6,17,6,11,1,5,0,0,3
4,7,17,7,11,1,4,0,0,1
9,10,19,1,6,0,7,0,0,1
8,5,8,11,8,2,7,1,19,5
7,6,16,6,8,1,6,0,4,1
4,6,17,7,10,1,4,0,0,2
5,8,18,5,10,0,5,0,0,3
5,4,13,8,10,2,7,0,0,2
5,7,16,8,7,1,6,0,3,3
5,11,0,10,11,0,5,11,3,7
5,5,17,5,11,2,6,0,0,1
6,7,16,7,8,1,6,0,0,3
6,7,19,5,9,1,5,0,0,2
5,5,17,6,11,1,5,0,0,1
8,8,18,5,7,0,7,0,0,1
5,6,17,6,10,1,5,0,0,1
7,9,0,11,10,0,10,0,0,6
