@RELATION type

@ATTRIBUTE refractive_index {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE na {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE mg {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE al {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE si {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE k {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE ca {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE ba {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE fe {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE type {1,2,3,4,5,6,7}

@DATA
7,6,0,8,14,1,11,0,0,5
6,13,14,12,5,4,0,11,0,7
5,6,15,6,12,1,5,0,0,1
4,13,0,16,10,0,6,7,0,7
1,8,0,17,2,19,2,0,0,5
6,13,0,11,10,0,10,0,0,6
5,7,15,5,11,1,6,0,11,1
0,8,15,5,11,1,5,0,12,1
9,14,0,4,10,0,11,0,3,2
9,13,17,1,7,0,7,0,0,1
3,7,15,7,12,2,4,0,9,1
4,11,7,9,12,0,6,5,0,7
8,14,0,10,13,0,5,11,0,7
6,10,15,6,7,1,6,0,0,1
4,16,0,13,11,0,6,3,0,7
6,10,14,5,8,1,6,0,0,1
4,8,15,7,11,1,4,0,0,2
7,11,15,6,6,0,6,4,0,1
5,9,16,5,12,1,5,0,0,1
5,6,15,7,12,1,5,0,0,1
6,9,17,5,10,1,4,0,0,2
5,5,12,6,14,1,6,0,9,1
4,7,15,10,11,2,4,0,0,2
5,9,16,6,10,1,5,0,0,1
4,16,0,12,12,0,6,4,0,7
4,9,14,7,12,1,5,0,0,2
4,7,15,7,11,1,5,0,0,2
3,13,0,14,13,0,6,4,1,7
4,10,15,7,11,1,4,0,0,1
4,7,16,8,11,2,4,0,10,1
10,9,15,3,7,0,8,0,1,1
6,8,12,6,11,1,6,0,0,1
6,16,3,9,9,0,8,0,0,6
9,11,4,6,8,1,10,0,0,2
4,7,15,7,11,2,5,0,9,2
5,10,15,7,8,1,6,0,0,3
6,7,15,6,11,1,5,0,0,1
7,11,10,5,10,0,8,0,0,6
5,6,16,5,12,1,6,0,0,1
4,10,15,5,10,1,5,0,0,3
6,9,14,7,8,1,6,0,0,3
5,8,16,4,12,1,5,0,0,1
4,9,15,7,11,1,4,0,0,2
4,8,15,8,11,2,4,0,8,2
8,9,0,6,8,1,13,0,0,5
5,11,17,7,7,1,5,0,5,2
4,8,14,5,11,1,6,0,9,2
5,11,16,9,8,2,4,0,0,2
4,8,15,8,12,0,5,0,7,2
6,10,16,5,10,0,6,0,0,1
13,12,16,2,6,0,8,0,3,1
5,8,15,9,10,2,5,0,0,2
4,7,15,7,13,2,4,0,0,2
5,10,14,8,7,1,6,0,3,3
5,4,14,5,13,1,6,0,9,2
9,9,16,3,7,0,8,0,0,1
5,9,16,5,10,1,5,0,4,1
4,10,15,5,11,2,4,0,0,2
6,8,16,7,9,1,5,0,4,2
3,9,15,7,12,1,4,0,0,2
4,9,15,7,11,1,4,0,0,2
7,10,15,2,10,0,6,1,9,3
6,8,16,5,9,2,6,0,8,2
4,10,16,7,9,2,4,0,0,2
5,11,16,5,10,0,5,0,0,3
6,9,15,7,8,1,5,0,0,2
9,2,8,7,11,1,11,0,0,5
4,7,0,9,15,3,8,0,0,5
5,7,15,6,11,1,5,0,0,1
5,7,15,6,11,1,5,0,0,1
4,4,15,6,11,1,5,0,0,3
5,10,12,5,11,1,6,0,0,1
6,10,17,5,9,1,5,0,0,2
5,7,15,6,11,2,6,0,0,1
7,14,0,1,13,0,10,0,0,6
3,11,0,14,12,0,7,5,0,7
4,7,14,7,12,2,5,0,0,2
4,9,15,8,10,2,4,0,0,2
4,7,15,6,12,2,4,0,9,1
4,8,15,9,9,1,5,0,6,3
9,0,7,7,13,1,11,0,0,5
5,9,15,6,10,1,5,0,0,1
7,9,14,6,9,1,6,0,4,1
4,9,15,6,10,1,5,0,3,3
8,10,9,8,8,1,7,1,6,2
6,14,9,8,9,0,7,0,0,6
7,15,16,0,8,0,6,0,0,1
6,8,17,5,9,1,5,0,0,2
14,11,14,2,2,0,11,0,0,2
6,9,15,5,10,1,6,0,6,1
4,14,0,10,14,0,5,10,0,7
5,7,15,7,10,1,5,0,7,1
8,13,17,3,6,0,7,0,0,3
5,15,0,12,12,0,6,4,0,7
6,8,16,4,9,2,6,0,5,2
4,14,0,10,12,0,5,10,2,7
8,8,1,7,13,0,10,0,10,5
10,10,14,5,9,1,6,0,0,7
0,11,14,9,11,5,0,8,0,7
9,13,17,1,7,0,7,0,0,1
4,9,15,7,10,2,4,0,3,2
9,13,16,3,5,0,6,0,14,3
3,12,11,19,0,5,0,15,0,5
3,16,0,13,14,0,5,3,0,7
6,9,16,6,9,1,5,0,0,2
6,12,16,5,8,0,6,0,0,1
4,16,0,13,12,0,6,4,3,7
4,8,15,7,11,1,4,0,0,2
5,10,16,2,11,0,6,0,0,3
9,8,16,3,9,0,8,0,6,1
5,6,15,6,13,1,5,0,2,1
5,8,15,5,11,2,5,0,0,1
5,5,12,8,11,2,7,0,0,2
8,11,10,7,7,1,8,0,6,2
5,7,15,5,12,1,5,0,0,1
4,8,15,7,12,2,4,0,0,2
5,7,16,6,10,1,6,0,0,1
1,8,0,17,3,19,2,0,0,5
5,7,15,5,12,1,5,0,0,1
5,7,15,6,11,1,6,0,0,1
6,14,0,9,11,4,1,19,0,7
4,9,16,7,9,2,4,0,11,2
