@RELATION type

@ATTRIBUTE refractive_index {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE na {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE mg {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE al {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE si {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE k {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE ca {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE ba {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE fe {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE type {1,2,3,4,5,6,7}

@DATA
1,8,0,17,3,19,2,0,0,5
4,11,15,7,9,2,4,0,0,2
7,15,16,0,8,0,6,0,0,1
4,10,15,5,11,2,4,0,0,2
6,11,16,5,10,0,6,0,0,1
5,7,15,6,11,1,6,0,0,1
8,8,1,7,13,0,10,0,10,5
17,0,0,11,0,1,14,19,10,2
8,10,0,6,9,1,13,0,0,5
4,12,7,9,12,0,6,4,0,7
4,10,15,5,10,1,5,0,0,3
4,7,12,7,12,1,6,0,8,2
6,11,17,6,8,1,5,0,12,2
4,10,16,7,9,2,4,0,0,2
5,8,15,9,10,2,5,0,0,2
5,9,17,6,9,1,5,0,10,2
9,10,16,3,8,0,7,0,2,1
5,10,14,8,7,1,6,0,3,3
5,11,16,2,11,0,6,0,0,3
4,14,0,10,14,0,5,9,0,7
6,11,14,5,8,1,6,0,0,1
4,8,15,7,12,1,5,0,0,2
4,9,15,6,10,1,5,0,3,3
7,12,15,6,7,0,6,4,0,1
11,12,12,5,4,0,9,0,0,2
6,9,16,4,11,1,5,0,6,2
7,15,0,1,13,0,10,0,0,6
6,10,17,6,10,1,5,0,5,2
6,8,16,7,10,1,5,0,4,2
3,12,11,19,0,5,0,13,0,5
4,16,0,9,12,0,6,8,0,7
4,4,0,5,19,8,6,0,0,7
4,9,15,7,11,1,4,0,0,2
4,9,15,8,12,0,5,0,7,2
3,13,0,14,13,0,6,3,1,7
4,10,15,7,10,1,5,0,0,2
4,12,15,5,11,1,4,0,5,2
4,7,14,7,12,2,5,0,0,2
5,7,15,6,11,2,6,0,0,1
5,10,12,5,11,1,6,0,0,1
4,8,15,8,12,2,4,0,0,2
9,13,16,3,5,0,7,0,0,1
9,1,7,7,13,1,11,0,0,5
6,7,8,9,10,1,8,0,0,5
6,14,0,9,11,4,1,18,0,7
7,7,0,8,14,1,11,0,0,5
6,12,15,6,7,1,6,0,0,1
4,10,15,7,11,1,4,0,0,2
1,9,0,17,2,19,2,0,0,5
